"text","word_scores","compound","pos","neu","neg","but_count"
"An Eastern Cape man has appeared in court alongside his girlfriend in connection with the murder of his other lover and mother of his child","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.7, 0, 0, 0, 2.8, 0, 0, 0, 0, 0}",-0.226,0.121,0.73,0.149,0
"A yearold man has been killed and another one has been seriously injured after two cars crashed in De Doorns on Tuesday","{0, 0, 0, 0, 0, -3.5, 0, 0, 0, 0, 0, -0.7, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.836,0,0.681,0.319,0
"TheNBA Finals are set for an exciting start when the Milwaukee Bucks take on the Phoenix Suns in Game","{0, 0, 0, 0, 0, 0, 2.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.494,0.151,0.849,0,0
"The Nelson Mandela Bay region is officially declared the first area in the Eastern Cape to be hit by the third wave of the coronavirus","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"We’re tired now SA chefs and restaurant owners fighting to survive during current restrictions","{0, -1.9, 0, 0, 0, 0, 0, 0, -1.5, 0, 0, 0, 0, 0}",-0.66,0,0.69,0.31,0
"Former Kaizer Chiefs and Bafana Bafana defender Tefu Mashamaite has offered advice to the South African Football Association on how they can change soccer for the betterment of the country","{0, 0, 0, 0, 0, 0, 0.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.103,0.046,0.954,0,0
"LIVE High Court to hand down Zuma arrest judgment on Friday morning","{0, 0, 0, 0, 2.2, 0, 0, -1.4, 0, 0, 0, 0}",0.202,0.205,0.641,0.154,0
"JUST INIf court dimisses Zuma application it could lead to another Marikana Dali Mpofu tells High Court","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"Advocate Tembeka Ngcukaitobi SC representing the Zondo Commission and its chairperson argued Zuma had now turned to the High Court asking it to assist him in breaking the law further adding it should reject this","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0}",-0.637,0,0.864,0.136,0
"South Africas farmers may be getting a short reprieve from a potentially disastrous locust infestation but a warmerthanusual winter season and heavy rainfall expected in summer could see the insect plague rising again","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.351,0,0.929,0.071,1
"Ghanas opposition supporters marched in Accra on Tuesday rallying against President Nana AkufoAddos handling of the economy and demanding justice after two protesters were shot dead last month","{0, 0, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.9, 2.4, 0, 0, -0.9, 0, 0, -3.3, 0, 0}",-0.202,0.168,0.615,0.217,0
"President Cyril Ramaphosa is studying the Special Investigating Unit report on the health departments controversial R million contract with Digital Vibesa company with alleged links to associates of Minister of Health Zweli Mkhize","{0, 0, 0, 0, 0, 0, 1.7, 0, 0, 0, 0, 0, 0, 0, -0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.226,0.076,0.873,0.051,0
"The South African Medical Research Council has detected the Covid Delta variant in wastewater from several towns in the Western Cape and the City of Cape Town","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"A large number of elderly people in the Western Cape have received their Covid jabs registered to get the vaccine or are open to learning more about the virus according to Unicef","{0, 0, 0.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.077,0.04,0.96,0,0
"A teenager from Ratanang Village in Mpumalanga has been arrested after he allegedly stabbed his uncle to death at their home on Monday","{0, 0, 0, 0, 0, 0, 0, 0, 0, -2.1, 0, 0, 0, -1.9, 0, 0, 0, -2.9, 0, 0, 0, 0, 0}",-0.872,0,0.669,0.331,0
"Following the analysis of the latest sales data distributed by Naamsaof thenew vehicles sold in South Africa in June were through the dealer network","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
