"text","word_scores","compound","pos","neu","neg","but_count"
"an eastern cape man has appeared in court alongside his girlfriend in connection with the murder of his other lover and mother of his child","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.7, 0, 0, 0, 2.8, 0, 0, 0, 0, 0}",-0.226,0.121,0.73,0.149,0
"year old man has been killed and another one has been seriously injured after two cars crashed in de doorns on tuesday","{0, 0, 0, 0, 0, -3.5, 0, 0, 0, 0, 0, -0.7, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.836,0,0.681,0.319,0
"finals are set for an exciting start when the milwaukee bucks take on the phoenix suns in game","{0, 0, 0, 0, 0, 2.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.494,0.158,0.842,0,0
"the nelson mandela bay region is officially declared the first area in the eastern cape to be hit by the third wave of the coronavirus","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"chefs and restaurant owners fighting to survive during current restrictions","{0, 0, 0, 0, -1.5, 0, 0, 0, 0, 0}",-0.361,0,0.783,0.217,0
"former kaizer chiefs and bafana bafana defender tefu mashamaite has offered advice to the south african football association on how they can change soccer for the betterment of the country news","{0, 0, 0, 0, 0, 0, 0.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.103,0.045,0.955,0,0
"high court to hand down zuma arrest judgment on friday morning","{0, 0, 0, 2.2, 0, 0, -1.4, 0, 0, 0, 0}",0.202,0.219,0.616,0.164,0
"if court dimisses zuma application it could lead to another marikana dali mpofu tells high court","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"advocate tembeka ngcukaitobi sc representing the zondo commission and its chairperson argued zuma had now turned to the high court asking it to assist him in breaking the law further adding it should reject this chabalala","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0}",-0.637,0,0.867,0.133,0
"south africas farmers may be getting a short reprieve from a potentially disastrous locust infestation but a warmer than usual winter season and heavy rainfall expected in summer could see the insect plague rising again","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.45, 0, 0, 0, 0, 1.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.09,0.073,0.863,0.064,1
"ghanas opposition supporters marched in accra on tuesday rallying against president nana akufo addos handling of the economy and demanding justice after two protesters were shot dead last month","{0, 0, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.9, 2.4, 0, 0, -0.9, 0, 0, -3.3, 0, 0}",-0.202,0.164,0.625,0.211,0
"president cyril ramaphosa is studying the special investigating unit report on the health departments controversial r million contract with digital vibes a company with alleged links to associates of minister of health zweli mkhize","{0, 0, 0, 0, 0, 0, 1.7, 0, 0, 0, 0, 0, 0, 0, -0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.226,0.074,0.877,0.049,0
"the south african medical research council has detected the covid delta variant in wastewater from several towns in the western cape and the city of cape town","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"large number of elderly people in the western cape have received their covid jabs registered to get the vaccine or are open to learning more about the virus according to unicef","{0, 0.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.077,0.042,0.958,0,0
"teenager from ratanang village in mpumalanga has been arrested after he allegedly stabbed his uncle to death at their home on monday","{0, 0, 0, 0, 0, 0, 0, 0, -2.1, 0, 0, 0, -1.9, 0, 0, 0, -2.9, 0, 0, 0, 0, 0}",-0.872,0,0.657,0.343,0
"following the analysis of the latest sales data distributed by naamsa of the new vehicles sold in south africa in june were through the dealer network","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"saturdays tour match between the bulls and british irish lions at loftus is reportedly in doubt due to covid cases in the bulls camp news","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.361,0,0.906,0.094,0
