"text","word_scores","compound","pos","neu","neg","but_count"
"In an effort to be an organisation with unquestionable integrity SARS will not tolerate corrupt staff according to its commissioner Ed Kieswetter

qQcUikUHDT","{0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.382,0.106,0.894,0,0
"The City of Cape Towns Metro Police removes almost a bakkie load of rocks and concrete chunks from the N highway nearly every night which are placed by criminals trying to force motorists to stop

FMPrlUmsN","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.7, 0, 0, 0, 0, 0, -1.2, 0}",-0.71,0,0.852,0.148,0
"Acting Western Cape police commissioner Lieutenant General Thembisile Patekile has been permanently appointed to this position

awIIOOMbUA","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"Three soldiers behind a failed coup in Gabon inhave been sentenced toyears prison

tfULsgX","{0, 0, 0, 0, -2.3, 0, 0, 0, 0, 0, -0.1, 0, -2.3, 0}",-0.772,0,0.588,0.412,0
"Video shows water pouring from the ceiling of Florida condo parking garage minutes before it collapsed

RbIcPyLc","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.1, 0}",-0.273,0,0.884,0.116,0
"Adventurers will now have the freedom to make that spontaneous decision and take the exit off the beaten track to explore offroad no matter how rough the terrain looks

RYKkQdxXR","{0.9, 0, 0, 0, 0, 3.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.8, 0, 0, 0, 0, 0, -0.074, 0, 0, 0, 0, 0, 0}",0.498,0.17,0.723,0.108,0
"Princes William and Harry reunited on Thursday to unveil a new statue of their mother Princess Diana on what would have been her th birthday

SGKwDZabWk","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"British Princes William and Harry put their differences aside on Thursday to unveil a statue to their late mother Princess Diana on what would have been her th birthday

yETgeMZwYG","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"The police are on the hunt for two suspects who were involved in a cashintransit heist outside a mall in Gauteng

LXCdLlRty","{0, 0, 0, 0, 0, 0, 0, 0, -1.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.34,0,0.897,0.103,0
"Zuma supporters say theyre prepared to go to prison for him

vMFkKrOP","{0, 1.9, 0, 0, 0.9, 0, 0, 0, -2.3, 0, 0, 0}",0.128,0.281,0.526,0.193,0
